iteration val_accuracy val_loss train_loss train_accuracy deleted
300 0.36110000163316724 3.839999920129776 4.084179878234863 0.2890625 1
600 0.4239000007510185 3.5331239640712737 3.7438931465148926 0.36328125 1
900 0.4582999996840954 3.406378650665283 3.425492286682129 0.45703125 1
1200 0.475500001758337 3.2878895819187166 3.4589171409606934 0.4375 1
1500 0.5001000016927719 3.214234948158264 3.460076332092285 0.4453125 1
1800 0.5209000043570995 3.1402954161167145 3.2501273155212402 0.48046875 1
2100 0.526900003105402 3.1026185154914856 2.917102813720703 0.51171875 1
2400 0.5361000023782253 3.065025579929352 3.256875514984131 0.4609375 1
2700 0.5530000023543835 2.995201200246811 3.2478129863739014 0.5 1
3000 0.5568000011146068 2.972696620225906 3.1425514221191406 0.49609375 1
3300 0.5614000022411346 2.943479722738266 2.973560094833374 0.54296875 1
3600 0.5751000016927719 2.9139149606227877 3.0447707176208496 0.53125 1
3900 0.5830999985337257 2.8784349620342256 2.8758468627929688 0.609375 1
4200 0.5924000024795533 2.8490175902843475 2.9303760528564453 0.5625 1
4500 0.5788000047206878 2.858863431215286 2.9463534355163574 0.53125 1
4800 0.5975000023841858 2.816158825159073 2.877225875854492 0.6328125 1
5100 0.5941000029444694 2.79508798122406 2.869011878967285 0.56640625 1
5400 0.6031000003218651 2.7753638327121735 2.917588472366333 0.57421875 1
5700 0.6045999959111213 2.7600283563137054 2.6217126846313477 0.66015625 1
6000 0.6091999992728233 2.7357575833797454 2.508108377456665 0.65625 1
6300 0.6133000016212463 2.734588289260864 2.746582508087158 0.609375 1
6600 0.6227000027894973 2.7045372843742372 2.5046839714050293 0.703125 1
6900 0.620899997651577 2.718007189035416 2.9182777404785156 0.578125 1
7200 0.6458000019192696 2.58809170126915 2.3115992546081543 0.703125 1
7500 0.649700003862381 2.56941197514534 2.7361087799072266 0.6015625 1
7800 0.652199998497963 2.5737088322639465 2.584047317504883 0.66796875 1
8100 0.652199998497963 2.558378928899765 2.373255729675293 0.69921875 1
8400 0.6535000041127205 2.5518178582191466 2.4225802421569824 0.6875 1
8700 0.6526000037789345 2.5562706351280213 2.3821730613708496 0.66796875 1
9000 0.6540000006556511 2.5486014068126677 2.3947081565856934 0.7109375 1
9300 0.6561000004410744 2.5535383403301237 2.3118014335632324 0.70703125 1
9600 0.6555999994277955 2.5478850841522216 2.2289295196533203 0.71875 1
9900 0.6568000003695488 2.5495062172412872 2.448028564453125 0.6953125 1
10200 0.6600000008940696 2.5407102525234224 2.4229278564453125 0.671875 1
10500 0.6625999987125397 2.5413460195064546 2.3615245819091797 0.71484375 1
10800 0.6583999991416931 2.5456884145736693 2.331078052520752 0.67578125 1
11100 0.6631999999284744 2.537121605873108 2.3184127807617188 0.6953125 1
11400 0.6617999985814095 2.5298585534095763 2.238929271697998 0.72265625 1
11700 0.6624999985098838 2.543993717432022 2.162565231323242 0.734375 1
12000 0.6579999983310699 2.538423639535904 2.240647792816162 0.703125 1
12300 0.664099994301796 2.5342609882354736 2.319661855697632 0.71484375 1
12600 0.6645000010728837 2.5421799600124357 2.4404613971710205 0.671875 1
12900 0.6613999992609024 2.546676629781723 2.487882137298584 0.6875 1
13200 0.6599000006914139 2.5427980184555055 2.430213689804077 0.67578125 1
13500 0.6611000016331673 2.5324611902236938 2.4509193897247314 0.68359375 1
13800 0.6633000001311302 2.545612722635269 2.5414371490478516 0.6640625 1
14100 0.6670999974012375 2.525355350971222 2.2505810260772705 0.7109375 1
14400 0.6671000003814698 2.523933583498001 2.1249680519104004 0.76171875 1
14700 0.6675000071525574 2.5184605360031127 2.2170486450195312 0.703125 1
15000 0.6674000039696694 2.520902669429779 2.129434823989868 0.73828125 1
15300 0.6679000034928322 2.5210527777671814 2.2479324340820312 0.6953125 1
15600 0.668699997663498 2.522582560777664 2.196640968322754 0.7109375 1
15900 0.6674000039696694 2.5226699709892273 2.248077392578125 0.69921875 1
16200 0.6684000000357628 2.5226974844932557 2.2023847103118896 0.72265625 1
16500 0.669099998474121 2.5177864015102385 2.308579921722412 0.70703125 1
16800 0.6686000004410744 2.522642856836319 2.3811330795288086 0.6796875 1
17100 0.6671999990940094 2.5245538473129274 2.1351914405822754 0.734375 1
17400 0.6681999996304512 2.518651634454727 2.0999088287353516 0.74609375 1
17700 0.6684999972581863 2.5175054252147673 1.993796467781067 0.7890625 1
18000 0.6696999996900559 2.5223506927490233 2.0826733112335205 0.7578125 1
18300 0.6692000031471252 2.524389016628265 2.070080280303955 0.71484375 1
18600 0.6683000028133392 2.519859439134598 2.321290969848633 0.734375 1
18900 0.6683999970555305 2.5194970965385437 2.258714199066162 0.69921875 1
19200 0.6692999988794327 2.519560915231705 2.3911077976226807 0.69921875 1
19500 0.6685000017285347 2.5226481020450593 2.039001226425171 0.75390625 1
19800 0.6681999996304512 2.5217875480651855 2.047731399536133 0.75390625 1
20100 0.6687999993562699 2.518235522508621 2.167271137237549 0.68359375 1
20400 0.6716000035405159 2.518370884656906 1.9929330348968506 0.7578125 0
20700 0.6695999994874 2.522861564159393 2.1902520656585693 0.6875 1
21000 0.6687999993562699 2.5222988426685333 2.1035962104797363 0.74609375 1
21300 0.6695999994874 2.5213440358638763 2.192986011505127 0.72265625 1
21600 0.6695999965071678 2.5212544977664946 2.2818140983581543 0.71484375 1
21900 0.6692999988794327 2.521418935060501 2.256450653076172 0.71875 1
22200 0.6684999972581863 2.5213556706905367 2.207808494567871 0.7265625 1
22500 0.6688000008463859 2.5211510360240936 1.9668865203857422 0.75 1
22800 0.6689999997615814 2.5215801298618317 2.1944351196289062 0.73828125 1
23100 0.6699999988079071 2.521579885482788 2.3611390590667725 0.67578125 1
23400 0.6684999987483025 2.5215746581554415 2.1490468978881836 0.7578125 1
23700 0.6687999978661537 2.5212607204914095 2.2343249320983887 0.69921875 1
24000 0.6702000007033349 2.5212332010269165 2.1469950675964355 0.703125 1
24300 0.6692999973893166 2.5211341202259065 2.174673557281494 0.7265625 1
24600 0.6682999983429909 2.5217467546463013 2.208730697631836 0.71875 1
24900 0.6687000006437301 2.521264487504959 2.3234519958496094 0.69921875 1
25200 0.6693999990820885 2.5208519637584685 2.1605429649353027 0.73828125 1
25500 0.6690999999642372 2.5210890889167787 2.3539233207702637 0.67578125 1
25800 0.6685999989509582 2.521145099401474 2.2527403831481934 0.734375 1
26100 0.6691999986767769 2.521340823173523 2.3323144912719727 0.69140625 1
26400 0.66920000016689296 2.5212058544158937 2.2673559188842773 0.703125 0
